,Date,Consumed Units,Total Price,Unit Price
0,2021-03-01,356,3420,9.606741573033707
1,2021-02-01,335,3150,9.402985074626866
2,2021-01-01,334,3130,9.37125748502994
3,2020-12-01,333,3140,9.42942942942943
4,2020-11-01,458,4410,9.62882096069869
5,2020-10-01,391,3670,9.38618925831202
6,2020-09-01,332,3100,9.337349397590362
7,2020-08-01,407,3740,9.18918918918919
8,2020-07-01,423,3610,8.534278959810875
9,2020-06-01,300,15490,7.6683168316831685
10,2020-05-01,280,4300,15.357142857142858
11,2020-04-01,280,1650,5.892857142857143
